id;sexo;edad;region;ciudad;producto;antiguedad_anios;P1_sat_atencion;P2_sat_tiempos;P3_sat_app;P4_sat_sucursal;P5_sat_general;P6_nps;comentario;ponderador
49;1;75,0;Araucania;Puente Alto;Cuenta Vista;4;4,0;2,0;4,0;2,0;5,0;8,0;;2,155
50;1;63,0;Araucania;Valparaiso;Credito de Consumo;11;2,0;2,0;2,0;3,0;5,0;9,0;Buena atencion;1,193
51;2;75,0;Metropolitana;Padre Las Casas;Cuenta Vista;0;5,0;5,0;3,0;4,0;3,0;7,0;Mejorar el sitio web;2,033
52;1;37,0;VALPARAISO;Viña del Mar;Cuenta Corriente;23;4,0;5,0;4,0;3,0;4,0;9,0;Sin comentarios;1,651
53;1;36,0;Araucania;Villarrica;Tarjeta de Credito;5;5,0;3,0;4,0;5,0;5,0;5,0;La app se cae seguido;1,386
54;1;31,0;Araucania;Talcahuano;Cuenta Corriente;15;3,0;2,0;5,0;1,0;2,0;8,0;;0,57
55;1;68,0;Metropolitana;Vina del Mar;Tarjeta de Credito;24;5,0;5,0;4,0;5,0;5,0;5,0;Demoraron mucho en atenderme;1,751
56;2;34,0;Biobio;concepción;Cuenta Vista;6;5,0;3,0;4,0;4,0;4,0;10,0;Todo bien;2,085
57;1;25,0;Araucania;Puente Alto;Cuenta Corriente;25;4,0;1,0;1,0;3,0;2,0;9,0;La app se cae seguido;2,062
58;1;71,0;Metropolitana;Concepcion;Cuenta Corriente;9;4,0;3,0;4,0;3,0;3,0;7,0;;1,195
59;1;50,0;Valparaiso;concepción;Tarjeta de Credito;1;99,0;2,0;1,0;5,0;5,0;7,0;;0,523
60;2;44,0;Araucania;Talcahuano;Cuenta Vista;18;5,0;2,0;3,0;5,0;5,0;99,0;;1,447
61;2;37,0;Coquimbo;Talcahuano;Cuenta Corriente;24;4,0;4,0;4,0;4,0;5,0;9,0;;0,939
62;1;66,0;Araucania;Coquimbo;Cuenta Corriente;3;5,0;3,0;4,0;4,0;3,0;99,0;Buena atencion;2,111
63;1;60,0;Metropolitana;STGO;Cuenta Vista;6;5,0;3,0;4,0;5,0;1,0;10,0;;2,145
64;2;41,0;VALPARAISO;concepción;Cuenta Corriente;3;5,0;2,0;5,0;4,0;1,0;8,0;;0,969
65;1;35,0;Araucania;STGO;Cuenta Vista;17;2,0;5,0;4,0;1,0;2,0;4,0;;1,654
66;1;42,0;Valparaiso ;santiago;Credito de Consumo;23;5,0;2,0;3,0;5,0;5,0;8,0;Buena atencion;1,097
67;2;38,0;Metropolitana;Talcahuano;Cuenta Corriente;20;2,0;5,0;99,0;4,0;4,0;10,0;;1,212
68;2;75,0;Coquimbo;Santiago ;Cuenta Vista;24;4,0;4,0;3,0;5,0;5,0;2,0;Todo bien;1,67
69;1;29,0;Metropolitana ;Santiago ;Tarjeta de Credito;20;4,0;5,0;3,0;2,0;99,0;10,0;Todo bien;0,474
70;1;53,0;Metropolitana;Ovalle;Cuenta Corriente;5;4,0;5,0;5,0;4,0;99,0;6,0;Mejorar el sitio web;1,637
71;1;61,0;Metropolitana;concepción;Cuenta Vista;4;4,0;3,0;1,0;2,0;4,0;10,0;Buena atencion;2,052
72;1;18,0;Valparaiso;Santiago;Cuenta Corriente;17;5,0;4,0;3,0;3,0;2,0;10,0;Excelente ejecutivo;1,332
73;1;62,0;BIOBIO;STGO;Cuenta Corriente;1;4,0;99,0;2,0;5,0;5,0;8,0;Demoraron mucho en atenderme;0,959
74;1;38,0;Valparaiso;Santiago;Credito de Consumo;17;4,0;5,0;4,0;5,0;2,0;8,0;Muy malos los tiempos de espera;1,206
75;2;18,0;Coquimbo;Puente Alto;Cuenta Corriente;5;5,0;4,0;4,0;5,0;4,0;6,0;La app se cae seguido;1,953
76;1;29,0;Metropolitana;Talcahuano;Cuenta Vista;9;3,0;5,0;3,0;4,0;4,0;7,0;Mejorar el sitio web;0,946
77;2;57,0;  Coquimbo;VALPARAISO;Tarjeta de Credito;4;5,0;3,0;4,0;5,0;3,0;6,0;Sin comentarios;1,637
78;1;75,0;Biobio;Puente Alto;Tarjeta de Credito;3;3,0;99,0;3,0;5,0;5,0;6,0;Demoraron mucho en atenderme;0,611
79;2;38,0;Coquimbo;VALPARAISO;Credito de Consumo;1;3,0;3,0;2,0;5,0;5,0;10,0;Sin comentarios;1,323
80;1;25,0;Metropolitana;Los Angeles;Cuenta Corriente;9;2,0;4,0;3,0;99,0;3,0;10,0;;1,445
81;2;35,0;Coquimbo;valpo;Cuenta Vista;12;5,0;1,0;5,0;4,0;4,0;10,0;Excelente ejecutivo;0,944
82;1;20,0;metropolitana;Valparaiso;Tarjeta de Credito;5;1,0;5,0;4,0;3,0;5,0;10,0;Mejorar el sitio web;0,9
83;1;55,0;Biobio;concepción;Tarjeta de Credito;12;4,0;2,0;4,0;2,0;4,0;9,0;;1,101
84;2;58,0;coquimbo;Puente Alto;Credito de Consumo;25;4,0;3,0;2,0;4,0;5,0;8,0;;1,018
85;1;41,0;Coquimbo;Padre Las Casas;Cuenta Corriente;6;3,0;3,0;4,0;3,0;4,0;2,0;La app se cae seguido;1,788
86;1;54,0;Valparaiso;STGO;Cuenta Corriente;15;5,0;4,0;4,0;3,0;5,0;6,0;;0,767
87;1;73,0;Metropolitana;STGO;Cuenta Corriente;21;5,0;4,0;1,0;4,0;3,0;8,0;Buena atencion;2,173
88;2;28,0;Valparaiso;Santiago;Credito de Consumo;13;5,0;2,0;5,0;2,0;4,0;7,0;;2,183
89;1;36,0;Coquimbo;Santiago;Tarjeta de Credito;16;4,0;5,0;4,0;5,0;5,0;8,0;Demoraron mucho en atenderme;1,883
90;1;78,0;Metropolitana;temuco;Cuenta Corriente;5;99,0;4,0;4,0;3,0;4,0;7,0;Mejorar el sitio web;1,939
91;1;63,0;Araucania;VALPARAISO;Cuenta Vista;22;4,0;5,0;2,0;4,0;4,0;8,0;;1,502
92;1;76,0;Araucania;temuco;Cuenta Vista;3;5,0;2,0;1,0;3,0;5,0;1,0;Buena atencion;0,482
93;2;39,0;Metropolitana ;La Serena;Cuenta Vista;4;5,0;5,0;4,0;4,0;4,0;8,0;La app se cae seguido;2,177
94;1;48,0;Metropolitana;STGO;Cuenta Corriente;11;4,0;4,0;5,0;4,0;4,0;4,0;Todo bien;0,903
95;2;70,0;Metropolitana;Los Angeles;Credito de Consumo;5;4,0;99,0;5,0;4,0;3,0;8,0;Todo bien;1,143
96;1;41,0;Coquimbo;Vina del Mar;Credito de Consumo;25;4,0;3,0;1,0;4,0;3,0;9,0;;1,453
97;2;50,0;Metropolitana;Coquimbo;Tarjeta de Credito;21;4,0;5,0;5,0;4,0;5,0;5,0;;0,9
98;2;28,0;Coquimbo;santiago;Cuenta Corriente;20;4,0;4,0;5,0;5,0;4,0;8,0;;1,046
99;1;78,0;VALPARAISO;la serena;Tarjeta de Credito;21;2,0;4,0;3,0;5,0;4,0;4,0;;1,598
100;2;55,0;Metropolitana;Puente Alto;Credito de Consumo;12;1,0;3,0;5,0;1,0;2,0;10,0;Buena atencion;1,734
101;1;70,0;Metropolitana;Puente Alto;Cuenta Corriente;24;3,0;4,0;5,0;3,0;4,0;9,0;Mejorar el sitio web;1,712
102;1;38,0;Araucania;Padre Las Casas;Cuenta Vista;11;2,0;5,0;4,0;3,0;4,0;4,0;Todo bien;0,937
103;1;60,0;metropolitana;concepción;Cuenta Vista;13;2,0;4,0;4,0;2,0;3,0;8,0;Sin comentarios;0,667
104;1;67,0;Metropolitana;Santiago ;Cuenta Corriente;5;5,0;5,0;1,0;5,0;4,0;8,0;;0,857
105;2;66,0;Coquimbo ;Santiago ;Cuenta Corriente;20;5,0;1,0;4,0;4,0;99,0;7,0;Demoraron mucho en atenderme;1,963
106;2;25,0;Valparaiso;Talcahuano;Cuenta Corriente;16;5,0;3,0;4,0;4,0;4,0;10,0;Muy malos los tiempos de espera;0,602
107;1;72,0;Metropolitana;valpo;Cuenta Vista;16;4,0;4,0;4,0;5,0;4,0;9,0;Excelente ejecutivo;1,059
108;2;61,0;Metropolitana;Puente Alto;Cuenta Vista;8;4,0;5,0;2,0;3,0;5,0;9,0;Todo bien;1,81
109;1;48,0;Coquimbo;temuco;Cuenta Corriente;13;4,0;4,0;5,0;3,0;4,0;99,0;;1,673
110;2;77,0;Metropolitana;Puente Alto;Cuenta Corriente;4;4,0;4,0;5,0;4,0;4,0;99,0;Excelente ejecutivo;1,767
111;1;19,0;Valparaiso;Puente Alto;Cuenta Vista;21;5,0;2,0;5,0;5,0;5,0;1,0;;2,192
112;1;76,0;Metropolitana;Coquimbo;Tarjeta de Credito;25;3,0;5,0;5,0;5,0;99,0;10,0;Sin comentarios;0,728
113;2;24,0;Araucania;valpo;Cuenta Vista;17;4,0;2,0;5,0;1,0;2,0;9,0;;1,491
114;1;74,0;metropolitana;La Serena;Cuenta Corriente;3;4,0;4,0;4,0;4,0;4,0;5,0;;1,449
115;2;23,0;  Valparaiso;Puente Alto;Cuenta Vista;24;5,0;4,0;4,0;1,0;1,0;10,0;Demoraron mucho en atenderme;0,926
116;2;20,0;VALPARAISO;Temuco;Credito de Consumo;12;4,0;5,0;5,0;3,0;5,0;10,0;Sin comentarios;0,82
117;2;75,0;valparaiso;Puente Alto;Cuenta Vista;2;4,0;4,0;3,0;3,0;5,0;9,0;Buena atencion;1,008
118;2;19,0;Metropolitana;Valparaiso;Tarjeta de Credito;0;99,0;4,0;4,0;5,0;5,0;99,0;Sin comentarios;2,0
119;2;33,0;Biobio;Valparaiso;Credito de Consumo;8;99,0;99,0;4,0;3,0;4,0;7,0;Excelente ejecutivo;1,11
120;1;73,0;Valparaiso;Talcahuano;Cuenta Corriente;7;3,0;3,0;4,0;4,0;4,0;10,0;;0,9
121;2;51,0;BIOBIO;STGO;Cuenta Vista;1;5,0;3,0;4,0;4,0;4,0;9,0;;1,881
122;2;21,0;Valparaiso;Valparaiso;Cuenta Corriente;10;3,0;3,0;2,0;1,0;5,0;4,0;Muy malos los tiempos de espera;0,853
123;2;75,0;Metropolitana;Concepcion;Cuenta Corriente;3;5,0;3,0;5,0;2,0;5,0;5,0;Demoraron mucho en atenderme;1,085
124;1;76,0;Coquimbo;Santiago ;Cuenta Corriente;5;4,0;1,0;3,0;4,0;3,0;5,0;;1,125
125;1;18,0;BIOBIO;Coquimbo;Cuenta Corriente;4;5,0;3,0;4,0;5,0;5,0;5,0;Sin comentarios;1,55
126;2;39,0;Valparaiso ;Coquimbo;Cuenta Corriente;13;4,0;3,0;4,0;3,0;5,0;9,0;Demoraron mucho en atenderme;0,633
127;2;66,0;Metropolitana;Ovalle;Credito de Consumo;13;5,0;3,0;1,0;5,0;5,0;99,0;;0,754
128;1;35,0;Metropolitana;VALPARAISO;Credito de Consumo;24;3,0;5,0;5,0;2,0;4,0;7,0;;1,996
129;1;49,0;Valparaiso;VALPARAISO;Cuenta Corriente;7;4,0;4,0;4,0;99,0;3,0;10,0;;0,605
130;1;32,0;Metropolitana;Santiago;Cuenta Corriente;16;5,0;4,0;4,0;3,0;5,0;5,0;Muy malos los tiempos de espera;1,194
131;1;57,0;Valparaiso;Santiago ;Cuenta Corriente;9;4,0;4,0;99,0;4,0;5,0;99,0;Muy malos los tiempos de espera;0,919
132;2;43,0;Araucania;Santiago;Cuenta Vista;0;5,0;4,0;5,0;5,0;5,0;8,0;;1,505
133;1;23,0;Biobio;Santiago;Cuenta Corriente;14;2,0;4,0;4,0;4,0;4,0;7,0;Muy malos los tiempos de espera;1,339
134;1;71,0;Coquimbo ;VALPARAISO;Cuenta Vista;5;1,0;5,0;2,0;2,0;4,0;6,0;;1,19
135;1;36,0;Metropolitana ;Coquimbo;Cuenta Corriente;6;5,0;5,0;3,0;1,0;4,0;8,0;Mejorar el sitio web;1,271
136;1;33,0;valparaiso;Temuco;Cuenta Vista;24;2,0;3,0;5,0;4,0;5,0;9,0;;1,857
137;2;80,0;Metropolitana ;Santiago;Cuenta Corriente;7;5,0;3,0;4,0;4,0;5,0;8,0;Excelente ejecutivo;0,931
138;2;55,0;  Metropolitana;temuco;Tarjeta de Credito;11;4,0;5,0;4,0;4,0;5,0;8,0;;0,454
139;1;46,0;Metropolitana;Santiago;Cuenta Corriente;15;4,0;2,0;5,0;4,0;4,0;4,0;;1,565
140;1;39,0;Metropolitana;Viña del Mar;Cuenta Vista;16;3,0;4,0;5,0;2,0;4,0;10,0;Sin comentarios;0,503
141;1;68,0;Metropolitana;Coquimbo;Credito de Consumo;2;5,0;4,0;5,0;3,0;3,0;4,0;;1,469
142;1;76,0;Valparaiso;Padre Las Casas;Tarjeta de Credito;8;5,0;4,0;2,0;4,0;1,0;9,0;Todo bien;0,778
143;1;19,0;Biobio;Viña del Mar;Cuenta Corriente;8;3,0;2,0;4,0;5,0;4,0;99,0;Mejorar el sitio web;1,444
144;1;70,0;Metropolitana;Los Angeles;Cuenta Corriente;12;99,0;2,0;4,0;5,0;5,0;5,0;Buena atencion;1,174
145;2;74,0;Metropolitana;Vina del Mar;Cuenta Vista;2;3,0;4,0;1,0;4,0;5,0;8,0;;1,591
146;2;52,0;Metropolitana ;santiago;Cuenta Vista;20;3,0;2,0;4,0;2,0;5,0;8,0;Buena atencion;1,869
147;1;22,0;Araucania;STGO;Credito de Consumo;13;3,0;1,0;5,0;5,0;5,0;7,0;;0,969
148;2;36,0;coquimbo;VALPARAISO;Cuenta Corriente;1;5,0;2,0;3,0;4,0;2,0;1,0;Muy malos los tiempos de espera;1,286
149;1;24,0;Metropolitana;Los Angeles;Cuenta Vista;18;1,0;3,0;3,0;4,0;5,0;2,0;;1,426
150;2;51,0;BIOBIO;Talcahuano;Credito de Consumo;11;3,0;4,0;4,0;2,0;4,0;3,0;;0,823
151;1;20,0;Valparaiso;concepción;Tarjeta de Credito;24;1,0;2,0;2,0;3,0;3,0;10,0;Buena atencion;0,562
152;1;59,0;Coquimbo;Ovalle;Cuenta Corriente;3;5,0;4,0;3,0;5,0;2,0;6,0;;1,224
153;1;75,0;Metropolitana ;VALPARAISO;Cuenta Corriente;17;4,0;3,0;3,0;2,0;4,0;8,0;;1,305
154;2;21,0;Araucania;Puente Alto;Cuenta Vista;4;3,0;3,0;4,0;5,0;4,0;8,0;;2,136
155;2;26,0;Valparaiso;Viña del Mar;Cuenta Vista;0;2,0;3,0;4,0;2,0;5,0;7,0;Todo bien;0,634
156;2;79,0;Biobio;La Serena;Cuenta Corriente;0;4,0;3,0;1,0;4,0;5,0;10,0;Excelente ejecutivo;1,07
157;2;74,0;Metropolitana;Santiago ;Tarjeta de Credito;4;5,0;4,0;4,0;99,0;1,0;7,0;;1,653
158;2;24,0;Biobio;Santiago;Tarjeta de Credito;16;3,0;5,0;3,0;3,0;5,0;7,0;;0,94
159;9;999,0;VALPARAISO;STGO;Cuenta Vista;11;3,0;4,0;4,0;4,0;4,0;5,0;Sin comentarios;1,431
160;2;23,0;COQUIMBO;Valparaiso;Tarjeta de Credito;3;4,0;5,0;2,0;1,0;5,0;9,0;La app se cae seguido;1,42
161;2;57,0;VALPARAISO;Santiago ;Tarjeta de Credito;23;3,0;3,0;5,0;4,0;2,0;2,0;;0,486
162;2;71,0;Metropolitana;Talcahuano;Credito de Consumo;1;99,0;4,0;5,0;4,0;4,0;6,0;Todo bien;1,618
163;1;67,0;Araucania;Talcahuano;Tarjeta de Credito;10;4,0;3,0;5,0;1,0;4,0;5,0;;0,875
164;1;27,0;metropolitana;Santiago;Tarjeta de Credito;5;3,0;4,0;4,0;5,0;5,0;7,0;Sin comentarios;0,901
165;2;56,0;biobio;Coquimbo;Cuenta Vista;24;1,0;4,0;5,0;3,0;5,0;6,0;La app se cae seguido;1,84
166;1;62,0;Metropolitana;Coquimbo;Cuenta Corriente;3;5,0;4,0;3,0;2,0;1,0;9,0;;0,745
167;1;60,0;Valparaiso;santiago;Tarjeta de Credito;20;5,0;4,0;3,0;4,0;1,0;99,0;;1,304
168;1;64,0;Araucania;Santiago ;Tarjeta de Credito;20;1,0;3,0;2,0;3,0;4,0;8,0;Todo bien;1,18
169;2;62,0;METROPOLITANA;Temuco;Tarjeta de Credito;6;3,0;5,0;4,0;5,0;5,0;4,0;;0,586
170;2;60,0;Valparaiso;STGO;Cuenta Corriente;10;2,0;1,0;5,0;2,0;4,0;6,0;Demoraron mucho en atenderme;1,699
171;2;19,0;Araucania;Santiago ;Cuenta Vista;4;5,0;5,0;5,0;1,0;4,0;9,0;Muy malos los tiempos de espera;1,269
172;2;59,0;Biobio;Los Angeles;Tarjeta de Credito;10;99,0;5,0;5,0;5,0;5,0;6,0;;1,819
173;2;74,0;Biobio ;Temuco;Credito de Consumo;3;5,0;3,0;5,0;5,0;3,0;8,0;;1,568
174;1;54,0;Biobio;Padre Las Casas;Cuenta Corriente;17;4,0;4,0;5,0;4,0;5,0;6,0;Mejorar el sitio web;0,718
175;2;45,0;Araucania ;Santiago ;Cuenta Vista;15;5,0;4,0;4,0;3,0;5,0;10,0;Mejorar el sitio web;1,471
176;2;40,0;Coquimbo;Viña del Mar;Cuenta Corriente;11;4,0;5,0;3,0;3,0;4,0;8,0;;1,853
177;2;34,0;Metropolitana;Puente Alto;Cuenta Vista;4;5,0;2,0;4,0;5,0;5,0;4,0;Excelente ejecutivo;2,067
178;2;43,0;Metropolitana;Valparaiso;Cuenta Corriente;16;4,0;4,0;4,0;3,0;2,0;0,0;;1,849
179;1;72,0;Metropolitana;Santiago;Cuenta Corriente;22;1,0;5,0;4,0;3,0;4,0;9,0;Sin comentarios;2,109
180;1;66,0;METROPOLITANA;Puente Alto;Tarjeta de Credito;25;1,0;1,0;99,0;5,0;4,0;6,0;Todo bien;0,739
181;2;63,0;Coquimbo;Valparaiso;Cuenta Vista;3;2,0;4,0;4,0;3,0;2,0;99,0;Todo bien;2,194
182;1;41,0;BIOBIO;santiago;Cuenta Corriente;8;3,0;5,0;2,0;4,0;4,0;8,0;;1,884
183;2;75,0;Biobio;Santiago ;Tarjeta de Credito;8;4,0;5,0;4,0;3,0;4,0;7,0;;1,24
184;1;24,0;Metropolitana;Vina del Mar;Cuenta Corriente;0;4,0;99,0;3,0;4,0;2,0;5,0;;1,635
185;1;40,0;Coquimbo;VALPARAISO;Cuenta Corriente;25;5,0;3,0;5,0;4,0;4,0;10,0;;0,44
186;2;71,0;Coquimbo;Santiago;Cuenta Vista;16;2,0;4,0;4,0;4,0;4,0;5,0;;1,179
187;2;72,0;Valparaiso ;Villarrica;Cuenta Corriente;23;5,0;2,0;1,0;2,0;3,0;10,0;;2,068
188;1;77,0;metropolitana;concepción;Cuenta Vista;17;2,0;99,0;5,0;3,0;5,0;10,0;;1,927
189;1;77,0;Valparaiso;Santiago ;Cuenta Corriente;6;3,0;3,0;3,0;4,0;4,0;10,0;Todo bien;1,528
190;1;44,0;Coquimbo;Santiago;Credito de Consumo;21;4,0;3,0;3,0;1,0;5,0;5,0;Todo bien;1,385
191;2;35,0;Biobio;Concepcion;Credito de Consumo;7;5,0;2,0;5,0;3,0;2,0;9,0;;1,649
192;1;999,0;Metropolitana;Talcahuano;Cuenta Vista;6;3,0;5,0;4,0;3,0;1,0;9,0;Buena atencion;1,399
193;2;46,0;Metropolitana;Temuco;Credito de Consumo;22;4,0;4,0;4,0;3,0;3,0;8,0;;0,682
194;9;70,0;Coquimbo;Puente Alto;Cuenta Corriente;5;4,0;4,0;5,0;4,0;3,0;4,0;Buena atencion;1,857
195;2;21,0;Metropolitana;Puente Alto;Cuenta Corriente;4;4,0;4,0;99,0;5,0;5,0;7,0;Buena atencion;0,594
196;9;22,0;  Metropolitana;Concepcion;Credito de Consumo;1;4,0;5,0;2,0;5,0;2,0;9,0;Sin comentarios;0,786
197;2;73,0;  Biobio;Santiago ;Credito de Consumo;16;5,0;4,0;4,0;5,0;4,0;1,0;Buena atencion;2,102
198;2;56,0;Valparaiso;temuco;Credito de Consumo;6;4,0;2,0;3,0;2,0;4,0;9,0;Mejorar el sitio web;0,781
199;1;50,0;Metropolitana;Santiago;Cuenta Vista;1;3,0;3,0;5,0;2,0;4,0;4,0;Mejorar el sitio web;0,809
200;1;56,0;Metropolitana;Santiago ;Cuenta Vista;5;5,0;2,0;4,0;3,0;4,0;9,0;;1,868
201;2;34,0;Metropolitana;concepción;Cuenta Corriente;8;5,0;4,0;5,0;3,0;3,0;10,0;Mejorar el sitio web;1,293
202;2;49,0;araucania;Santiago ;Cuenta Corriente;12;5,0;2,0;4,0;3,0;3,0;2,0;;1,705
203;2;60,0;Valparaiso;Santiago;Cuenta Vista;5;1,0;5,0;3,0;3,0;1,0;9,0;Demoraron mucho en atenderme;0,901
204;2;63,0;Coquimbo;STGO;Credito de Consumo;20;5,0;3,0;99,0;3,0;3,0;1,0;;2,111
205;2;74,0;Valparaiso;santiago;Cuenta Vista;1;5,0;3,0;1,0;4,0;5,0;6,0;;0,829
206;1;31,0;Metropolitana;Talcahuano;Tarjeta de Credito;8;4,0;5,0;5,0;5,0;5,0;9,0;;1,128
207;2;40,0;metropolitana;Villarrica;Cuenta Vista;15;3,0;3,0;2,0;99,0;5,0;4,0;;2,149
208;1;80,0;Biobio;Villarrica;Cuenta Corriente;2;3,0;5,0;5,0;5,0;5,0;7,0;La app se cae seguido;1,444
